         x          y          z
   -180.00     -81.00       0.05
   -180.00     116.50       0.05
   -179.00     -80.00       0.05
   -179.00      58.00       0.05
   -178.00    -131.50       0.05
   -178.00     135.50       0.05
   -174.50     138.50       0.05
   -174.50     162.50       0.05
   -174.00     -87.00       0.05
   -174.00      90.50       0.05
   -173.50    -131.00       0.05
   -173.50     -61.00       0.05
   -172.50    -163.50       0.05
   -172.50      89.50       0.05
   -172.00    -132.00       0.05
   -172.00     -60.00       0.05
   -171.50     -82.00       0.05
   -171.50     109.00       0.05
   -171.00    -127.50       0.05
   -171.00    -121.50       0.05
   -171.00     -94.50       0.05
   -171.00     115.00       0.05
   -165.50    -125.50       0.05
   -165.50      86.00       0.05
   -163.50     -47.50       0.05
   -163.50      97.00       0.05
   -161.50    -110.50       0.05
   -161.50      96.50       0.05
   -160.50    -100.50       0.05
   -160.50      80.00       0.05
   -160.00     -98.50       0.05
   -160.00     -84.00       0.05
   -158.00      60.00       0.05
   -158.00     130.00       0.05
   -156.50     -30.00       0.05
   -156.50     154.00       0.05
   -155.50    -111.50       0.05
   -155.50     103.00       0.05
   -154.50     -87.00       0.05
   -154.50      92.00       0.05
   -151.50     -76.50       0.05
   -151.50      88.00       0.05
   -150.50    -179.50       0.05
   -150.50      75.50       0.05
   -149.00    -104.50       0.05
   -149.00     113.00       0.05
   -148.00    -179.00       0.05
   -148.00     -35.00       0.05
   -145.50    -108.00       0.05
   -145.50      83.00       0.05
   -142.50    -129.50       0.05
   -142.50     112.50       0.05
   -142.00    -105.50       0.05
   -142.00      81.00       0.05
   -142.00     164.50       0.05
   -142.00     168.00       0.05
   -141.50    -130.00       0.05
   -141.50     103.00       0.05
   -140.00    -121.50       0.05
   -140.00      93.50       0.05
   -139.50    -126.50       0.05
   -139.50      92.50       0.05
   -139.00    -121.00       0.05
   -139.00     -52.50       0.05
   -139.00      31.50       0.05
   -139.00      70.50       0.05
   -139.00      96.00       0.05
   -139.00     179.00       0.05
   -138.00     -36.50       0.05
   -138.00     108.00       0.05
   -137.50    -173.00       0.05
   -137.50     143.00       0.05
   -137.00    -111.00       0.05
   -137.00       9.50       0.05
   -136.50    -122.50       0.05
   -136.50     -82.50       0.05
   -136.00    -168.00       0.05
   -136.00    -135.50       0.05
   -136.00    -110.00       0.05
   -136.00      74.50       0.05
   -135.00     -68.00       0.05
   -135.00     -66.00       0.05
   -134.00     151.00       0.05
   -134.00     173.00       0.05
   -133.50    -122.00       0.05
   -133.50    -117.00       0.05
   -133.50     -55.00       0.05
   -133.50      17.50       0.05
   -133.50      66.00       0.05
   -133.50      86.50       0.05
   -133.50     163.00       0.05
   -133.50     176.00       0.05
   -132.00    -157.00       0.05
   -132.00     -68.00       0.05
   -129.00    -124.00       0.05
   -129.00      13.50       0.05
   -128.00     -67.00       0.05
   -128.00      39.00       0.05
   -127.00    -135.00       0.05
   -127.00     103.00       0.05
   -126.00    -155.50       0.05
   -126.00    -134.50       0.05
   -126.00    -105.00       0.05
   -126.00      84.00       0.05
   -125.50     -54.50       0.05
   -125.50      57.50       0.05
   -125.00    -176.50       0.05
   -125.00    -148.00       0.05
   -124.50     -36.50       0.05
   -124.50      78.00       0.05
   -124.00    -135.00       0.05
   -124.00     179.00       0.05
   -123.50    -158.00       0.05
   -123.50    -130.50       0.05
   -122.00    -103.50       0.05
   -122.00      85.00       0.05
   -122.00     175.50       0.05
   -122.00     178.00       0.05
   -121.50    -178.50       0.05
   -121.50    -169.00       0.05
   -121.50    -142.00       0.05
   -121.50    -108.50       0.05
   -121.00    -175.50       0.05
   -121.00    -143.00       0.05
   -120.50    -177.50       0.05
   -120.50    -171.00       0.10
   -120.50    -152.50       0.05
   -120.50    -142.50       0.05
   -120.50    -142.00       0.05
   -120.50     -33.50       0.05
   -120.50      85.50       0.05
   -120.00    -175.50       0.05
   -120.00    -140.50       0.05
   -120.00     -84.00       0.05
   -120.00     -82.50       0.05
   -119.50    -171.00       0.05
   -119.50    -141.50       0.05
   -119.50    -141.00       0.05
   -119.50     177.50       0.05
   -118.50     -95.00       0.05
   -118.50     -93.00       0.05
   -118.50     124.50       0.05
   -118.50     132.00       0.05
   -117.00    -172.50       0.05
   -117.00    -172.00       0.05
   -117.00    -148.50       0.05
   -117.00    -148.00       0.05
   -117.00      -3.50       0.05
   -117.00      74.50       0.05
   -116.50    -179.00       0.05
   -116.50    -101.50       0.05
   -116.00    -173.00       0.05
   -116.00    -146.50       0.05
   -116.00    -104.50       0.05
   -116.00    -100.50       0.05
   -116.00     125.00       0.05
   -116.00     142.00       0.05
   -115.50    -180.00       0.05
   -115.50    -143.00       0.05
   -115.50    -136.50       0.05
   -115.50      98.50       0.05
   -115.50     168.00       0.05
   -115.50     178.50       0.05
   -114.50     -93.50       0.05
   -114.50     131.50       0.05
   -114.00    -107.50       0.05
   -114.00    -100.00       0.05
   -114.00     140.50       0.05
   -114.00     143.50       0.05
   -113.50    -177.50       0.05
   -113.50    -163.00       0.05
   -113.50    -103.50       0.05
   -113.50     136.00       0.05
   -113.00    -104.00       0.05
   -113.00     149.00       0.05
   -112.50     -86.00       0.05
   -112.50     173.00       0.05
   -110.50    -108.50       0.05
   -110.50     -98.50       0.05
   -110.50     -44.50       0.05
   -110.50     -16.00       0.05
   -110.50       2.00       0.05
   -110.50     135.00       0.05
   -109.50    -139.00       0.05
   -109.50     -55.00       0.05
   -109.50      20.00       0.05
   -109.50      23.50       0.10
   -109.50      26.50       0.05
   -109.00    -176.00       0.05
   -109.00    -139.00       0.05
   -108.50     150.00       0.05
   -108.50     168.50       0.05
   -108.00     -52.50       0.05
   -108.00     140.50       0.05
   -107.50    -161.50       0.05
   -107.50    -151.00       0.05
   -107.50      -1.50       0.05
   -107.50      70.00       0.05
   -107.00    -175.50       0.05
   -107.00     -40.50       0.05
   -106.50    -132.50       0.05
   -106.50     179.00       0.05
