         x          y          z
   -180.00    -180.00      10.00
   -180.00    -175.00      12.00
   -180.00    -170.00       7.00
   -180.00    -165.00      10.00
   -180.00    -160.00      25.00
   -180.00    -155.00      16.00
   -180.00    -150.00      15.00
   -180.00    -145.00       7.00
   -180.00    -140.00      19.00
   -180.00    -135.00      13.00
   -180.00    -130.00      14.00
   -180.00    -125.00      12.00
   -180.00    -120.00      19.00
   -180.00    -115.00      19.00
   -180.00    -110.00      31.00
   -180.00    -105.00      25.00
   -180.00    -100.00      29.00
   -180.00     -95.00      30.00
   -180.00     -90.00      26.00
   -180.00     -85.00      30.00
   -180.00     -80.00      25.00
   -180.00     -75.00      29.00
   -180.00     -70.00      23.00
   -180.00     -65.00      10.00
   -180.00     -60.00      10.00
   -180.00     -55.00      13.00
   -180.00     -50.00       8.00
   -180.00     -45.00       4.00
   -180.00     -40.00       3.00
   -180.00     -35.00       5.00
   -180.00     -30.00       2.00
   -180.00     -25.00       3.00
   -180.00     -20.00       2.00
   -180.00     -15.00       1.00
   -180.00     -10.00       1.00
   -180.00       0.00       1.00
   -180.00       5.00       1.00
   -180.00      10.00       1.00
   -180.00      15.00       2.00
   -180.00      20.00       1.00
   -180.00      25.00       3.00
   -180.00      30.00       6.00
   -180.00      35.00      13.00
   -180.00      40.00       4.00
   -180.00      45.00       8.00
   -180.00      50.00      16.00
   -180.00      55.00      13.00
   -180.00      60.00      15.00
   -180.00      65.00      15.00
   -180.00      70.00      12.00
   -180.00      75.00      14.00
   -180.00      80.00      16.00
   -180.00      85.00       4.00
   -180.00      90.00       8.00
   -180.00      95.00      17.00
   -180.00     100.00      25.00
   -180.00     105.00      24.00
   -180.00     110.00      12.00
   -180.00     115.00      24.00
   -180.00     120.00      17.00
   -180.00     125.00      11.00
   -180.00     130.00      21.00
   -180.00     135.00      22.00
   -180.00     140.00       7.00
   -180.00     145.00      25.00
   -180.00     150.00      12.00
   -180.00     155.00      18.00
   -180.00     160.00      15.00
   -180.00     165.00      13.00
   -180.00     170.00       9.00
   -180.00     175.00       7.00
