         x          y          z
   -129.28      69.99       1.00
   -129.28     126.35       1.00
   -128.53      65.93       1.00
   -128.53     121.07       1.00
   -124.98     105.86       1.00
   -124.98     114.35       1.00
   -123.06     -66.87       1.00
   -123.06      75.58       1.00
   -122.58     -50.57       1.00
   -122.58      79.37       1.00
   -121.69     -55.73       1.00
   -121.69      84.69       1.00
   -115.90     -68.25       1.00
   -115.90      85.20       1.00
   -115.49     -73.96       1.00
   -115.49     167.20       1.00
   -112.80      84.96       1.00
   -112.80     170.82       1.00
   -112.16     -72.60       1.00
   -112.16      81.71       1.00
   -111.33     -74.24       1.00
   -111.33     165.99       1.00
   -110.19    -140.22       1.00
   -110.19      74.65       1.00
   -109.35    -167.63       1.00
   -109.35     111.84       1.00
   -109.26     -58.29       1.00
   -109.26     132.09       1.00
   -108.24     -76.61       1.00
   -108.24      81.24       1.00
   -107.92     -54.18       1.00
   -107.92     125.29       1.00
   -107.57     -52.43       1.00
   -107.57     176.30       1.00
   -106.18     -88.39       1.00
   -106.18      64.94       1.00
   -105.51     -66.34       1.00
   -105.51      89.85       1.00
   -105.15     -67.23       1.00
   -105.15      87.01       1.00
   -105.12     -83.91       1.00
   -105.12     -77.39       1.00
   -104.64     -72.07       1.00
   -104.64     -69.89       1.00
   -103.98     -93.95       1.00
   -103.98      75.60       1.00
   -103.85     -90.49       1.00
   -103.85      82.66       1.00
   -103.40     -63.31       1.00
   -103.40      70.39       1.00
   -103.01    -152.55       1.00
   -103.01      54.68       1.00
   -101.90     -61.79       1.00
   -101.90      85.71       1.00
   -101.69     -45.42       1.00
   -101.69      92.88       1.00
   -101.33     -52.73       1.00
   -101.33      64.24       1.00
   -101.25     -42.48       1.00
   -101.25     100.45       1.00
   -101.16     -58.38       1.00
   -101.16      97.02       1.00
   -101.12     -64.00       1.00
   -101.12      89.97       1.00
   -100.73      69.07       1.00
   -100.73      79.21       1.00
   -100.57     -99.32       1.00
   -100.57      72.01       1.00
   -100.51     -92.04       1.00
   -100.51      72.58       1.00
   -100.49      80.16       1.00
   -100.49      81.70       1.00
   -100.47     -68.45       1.00
   -100.47      98.65       1.00
   -100.45    -174.04       1.00
   -100.45      85.13       1.00
   -100.42      80.50       1.00
   -100.42     168.17       1.00
    -99.56    -111.72       1.00
    -99.56      94.32       1.00
    -99.33     -72.94       1.00
    -99.33      87.06       1.00
    -99.28     -81.20       1.00
    -99.28     -61.65       1.00
    -98.81    -155.26       1.00
    -98.81     -39.20       1.00
    -98.27    -157.95       1.00
    -98.27      76.39       1.00
    -98.24     -65.62       1.00
    -98.24     -56.37       1.00
    -97.45    -108.06       1.00
    -97.45      93.07       1.00
    -97.41    -174.48       1.00
    -97.41      80.33       1.00
    -97.36     -71.21       1.00
    -97.36      69.72       1.00
    -97.28    -151.94       1.00
    -97.28     -80.88       1.00
    -97.06    -147.58       1.00
    -97.06     102.16       1.00
    -97.03     -71.75       1.00
    -97.03      86.55       1.00
    -96.94     -97.57       1.00
    -96.94     -63.96       1.00
    -96.91     -91.05       1.00
    -96.91     -81.74       1.00
    -96.89     -87.41       1.00
    -96.89     -76.05       1.00
    -96.81     -96.18       1.00
    -96.81      53.47       1.00
    -96.58    -129.59       1.00
    -96.58     -69.48       1.00
    -96.57     -69.92       1.00
    -96.57     178.68       1.00
    -96.49     -44.44       1.00
    -96.49     106.50       1.00
    -96.48     -89.59       1.00
    -96.48     -70.02       1.00
    -96.30     -53.43       1.00
    -96.30     105.40       1.00
    -96.24     -91.16       1.00
    -96.24     -82.41       1.00
    -96.19     -51.38       1.00
    -96.19      64.77       1.00
    -96.15     -90.69       1.00
    -96.15     -69.25       1.00
    -96.05     -63.77       1.00
    -96.05     -60.22       1.00
    -95.97    -168.21       1.00
    -95.97    -115.81       1.00
    -95.92     -85.22       1.00
    -95.92     -44.38       1.00
    -95.87     -94.83       1.00
    -95.87     -71.32       1.00
    -95.76    -115.17       1.00
    -95.76      71.34       1.00
    -95.70     -91.36       1.00
    -95.70     -69.20       1.00
    -95.58    -172.49       1.00
    -95.58    -122.18       1.00
    -95.54      85.60       1.00
    -95.54     109.68       1.00
    -95.30    -101.28       1.00
    -95.30     -26.53       1.00
    -95.29     -63.42       1.00
    -95.29     -59.07       1.00
    -95.13    -168.94       1.00
    -95.13    -115.35       1.00
    -95.12    -150.38       1.00
    -95.12     -62.87       1.00
    -95.07    -173.90       1.00
    -95.07    -121.15       1.00
    -94.73     -67.16       1.00
    -94.73     173.75       1.00
    -94.71     -57.77       1.00
    -94.71     103.73       1.00
    -94.67    -101.76       1.00
    -94.67     -93.81       1.00
    -94.63    -149.93       1.00
    -94.63     -88.04       1.00
    -94.62     -78.15       1.00
    -94.62     -75.42       1.00
    -94.59    -107.40       1.00
    -94.59     -60.29       1.00
    -94.46     -83.07       1.00
    -94.46     151.08       1.00
    -94.29     -90.07       1.00
    -94.29      61.41       1.00
    -94.23     -41.34       1.00
    -94.23      76.15       1.00
    -94.03    -157.48       1.00
    -94.03      67.64       1.00
    -94.02    -100.05       1.00
    -94.02     -94.13       1.00
    -93.91     -81.35       1.00
    -93.91     -65.09       1.00
    -93.89    -116.77       1.00
    -93.89      97.74       1.00
    -93.77    -104.14       1.00
    -93.77     -77.51       1.00
    -93.76    -106.68       1.00
    -93.76     -66.50       1.00
    -93.60     -82.72       1.00
    -93.60      89.97       1.00
    -93.55    -121.06       1.00
    -93.55      98.14       1.00
    -93.42     -85.54       1.00
    -93.42     -73.89       1.00
    -93.39     -61.02       1.00
    -93.39      87.84       1.00
    -93.38     -98.58       1.00
    -93.38      53.92       1.00
    -93.38     -57.07       1.00
    -93.38      88.29       1.00
    -93.35     -83.41       1.00
    -93.35     -64.64       1.00
    -93.34    -103.12       1.00
    -93.34     -70.88       1.00
    -93.13    -162.95       1.00
    -93.13     142.61       1.00
    -93.08     -83.43       1.00
    -93.08     -75.22       1.00
    -93.04     -92.23       1.00
    -93.04     -53.02       1.00
    -93.03     -59.76       1.00
    -93.03     -43.02       1.00
    -93.02     -96.22       1.00
    -93.02     -64.83       1.00
    -93.00     -78.85       1.00
    -93.00     -60.81       1.00
    -92.98     -89.81       1.00
    -92.98     -85.88       1.00
    -92.90     -66.21       1.00
    -92.90     -57.72       1.00
    -92.85     -74.42       1.00
    -92.85     -46.03       1.00
    -92.84     -75.49       1.00
    -92.84     -48.94       1.00
    -92.79    -145.38       1.00
    -92.79     160.17       1.00
    -92.78    -118.25       1.00
    -92.78     100.95       1.00
    -92.76    -165.64       1.00
    -92.76    -109.43       1.00
    -92.61    -156.62       1.00
    -92.61     -70.65       1.00
    -92.61     -67.67       1.00
    -92.61     -55.17       1.00
    -92.60    -128.79       1.00
    -92.60     -60.34       1.00
    -92.57    -100.23       1.00
    -92.57     -52.76       1.00
    -92.37     -46.71       1.00
    -92.37     103.81       1.00
    -92.33     -90.40       1.00
    -92.33     -79.19       1.00
    -92.28     -59.29       1.00
    -92.28      92.80       1.00
    -92.27    -146.37       1.00
    -92.27     160.52       1.00
    -92.26    -101.18       1.00
    -92.26     -52.05       1.00
    -92.23    -162.83       1.00
    -92.23     161.08       1.00
    -92.16     -65.96       1.00
    -92.16     -52.52       1.00
    -92.12     -68.48       1.00
    -92.12     -66.09       1.00
    -91.99    -165.74       1.00
    -91.99     159.96       1.00
    -91.97    -103.13       1.00
    -91.97     -55.42       1.00
    -91.93     -93.44       1.00
    -91.93     -46.09       1.00
    -91.85    -108.41       1.00
    -91.85     -80.05       1.00
    -91.84     -91.63       1.00
    -91.84     -76.40       1.00
    -91.81     -75.32       1.00
    -91.81     -62.58       1.00
    -91.80     -92.77       1.00
    -91.80     -56.96       1.00
    -91.79     -80.34       1.00
    -91.79     -61.30       1.00
    -91.76     -54.35       1.00
    -91.76     -46.86       1.00
    -91.75    -164.36       1.00
    -91.75    -113.62       1.00
    -91.60     -54.29       1.00
    -91.60     -38.59       1.00
    -91.50     -93.67       1.00
    -91.50     -53.94       1.00
    -91.46    -148.04       1.00
    -91.46     155.72       1.00
    -91.42     -86.78       1.00
    -91.42     -57.78       1.00
    -91.40    -132.17       1.00
    -91.40     -79.97       1.00
    -91.30    -132.29       1.00
    -91.30     -78.93       1.00
    -91.27     -76.69       1.00
    -91.27     166.61       1.00
    -91.25     -65.65       1.00
    -91.25     -59.54       1.00
    -91.20    -103.04       1.00
    -91.20     154.18       1.00
    -91.15     -82.61       1.00
    -91.15     152.80       1.00
    -91.15    -164.05       1.00
    -91.15     164.27       1.00
    -91.09     -75.70       1.00
    -91.09     -54.54       1.00
    -91.08     -84.07       1.00
    -91.08     154.26       1.00
    -91.06     -63.89       1.00
    -91.06     -57.14       1.00
    -91.01     -78.18       1.00
    -91.01     -68.57       1.00
    -91.00     -92.39       1.00
    -91.00     -53.74       1.00
    -90.95     -69.30       1.00
    -90.95     -44.61       1.00
    -90.89    -109.35       1.00
    -90.89     -31.97       1.00
    -90.88     -59.25       1.00
    -90.88     -59.13       1.00
    -90.76     -74.84       1.00
    -90.76     -49.46       1.00
    -90.75     -79.24       1.00
    -90.75     -63.35       1.00
    -90.69     -68.53       1.00
    -90.69     -64.31       1.00
    -90.68     -67.09       1.00
    -90.68     -60.33       1.00
    -90.65     -94.02       1.00
    -90.65     -56.11       1.00
    -90.65    -144.89       1.00
    -90.65     170.10       1.00
    -90.64     -86.87       1.00
    -90.64     -69.45       1.00
    -90.62    -106.21       1.00
    -90.62     -68.41       1.00
    -90.52    -105.36       1.00
    -90.52     162.65       1.00
    -90.51    -127.47       1.00
    -90.51     148.02       1.00
    -90.44     -85.96       1.00
    -90.44     -77.24       1.00
    -90.41    -131.03       1.00
    -90.41     -53.47       1.00
    -90.36     150.34       1.00
    -90.36     169.54       1.00
    -90.21     -49.37       1.00
    -90.21     134.22       1.00
    -90.17     -68.19       1.00
    -90.17     -64.10       1.00
    -90.16     -80.96       1.00
    -90.16     -59.11       1.00
    -90.07    -101.47       1.00
