           x      y      z   
     42.390    102.924      8.000
    23.002    -33.702      8.000
    42.574     97.731      8.000
    33.252   -102.237      8.000
    42.134    126.031      8.000
    36.576    -52.551      8.000
    42.653    120.304      8.000
    20.543    -69.197      8.000
    40.054    125.156      9.000
    20.864   -103.781      9.000
    42.880     72.297      7.000
    42.522   -170.507      7.000
    43.354    120.017      8.000
    20.644    -66.592      8.000
    41.840     95.622      7.000
    20.692    -87.326      7.000
    42.295    108.970      8.000
    31.699    -52.471      8.000
    40.003     81.473      7.000
    36.163    -99.725      7.000
    43.651    118.311      8.000
    20.369    -74.596      8.000
    43.822    121.376      8.000
    21.501    -84.378      8.000
    40.843     88.202      7.000
    20.586    -99.248      7.000
    39.524     89.913      8.000
    51.909   -150.096      8.000
    41.854    113.510      8.000
    21.075    -80.259      8.000
    41.846    136.346      8.000
    37.655    -29.489      8.000
    43.078    124.034      8.000
    20.284    -78.350      8.000
    43.502    116.016      8.000
    20.065    -79.075      8.000
    42.866    111.457      8.000
    20.385    -92.850      8.000
    42.032     78.768      7.000
    31.602     50.126      7.000
    41.794    117.822      8.000
    20.373    -92.316      8.000
    34.916    -77.876      8.000
    34.377    179.884      8.000
    36.257    -67.756      8.000
    34.987   -174.638      8.000
    33.814    -67.166      8.000
    34.419   -168.000      8.000
    35.306    -73.561      7.000
    34.180   -178.205      7.000
    35.151    -81.077      8.000
    34.217    176.604      8.000
    36.138    -75.105      7.000
    34.467   -166.636      7.000
    34.799    -74.385      7.000
    35.576   -171.686      7.000
    36.849    -71.948      7.000
    34.566   -174.394      7.000
    34.857    -75.923      7.000
    34.675   -174.877      7.000
    36.217    -62.582      8.000
    36.285   -153.377      8.000
    34.466    -70.335      7.000
    34.479   -160.346      7.000
    33.589    -63.726      8.000
    36.423   -165.922      8.000
    34.216    -70.556      8.000
    34.618   -174.825      8.000
    34.796    -73.892      7.000
    34.282   -172.418      7.000
    35.753    -67.653      7.000
    37.476   -169.700      7.000
    35.796    -68.585      7.000
    34.538   -163.459      7.000
    36.854    -59.647      7.000
    37.222   -157.192      7.000
    34.890    -75.565      7.000
    34.216   -177.228      7.000
    35.097    -77.579      7.000
    35.233   -176.200      7.000
    35.165    -75.089      7.000
    34.576   -175.430      7.000
    33.197   -125.916      6.000
    45.027    -34.317      6.000
    19.090   -129.075      6.000
    45.527    -44.058      6.000
    35.256   -141.304      7.000
    44.749    -37.830      7.000
    35.509   -109.749      6.000
    46.298    -39.970      6.000
    20.147   -127.642      6.000
    45.126    -48.443      6.000
    35.034   -125.610      6.000
    45.085    -37.222      6.000
    31.104   -125.165      6.000
    45.233    -33.747      6.000
    33.590   -126.085      6.000
    45.287    -36.952      6.000
    34.554   -133.437      6.000
    44.431    -35.319      6.000
    35.358   -117.701      7.000
    44.994    -42.201      7.000
    32.234   -130.275      6.000
    44.234    -32.452      6.000
    19.141   -128.280      7.000
    44.220    -49.194      7.000
    18.696   -133.611      7.000
    44.886    -49.050      7.000
    34.221   -131.697      6.000
    44.625    -38.966      6.000
    18.598   -127.733      7.000
    44.589    -44.823      7.000
    32.869   -107.140      6.000
    44.534    -37.092      6.000
    30.731   -114.708      7.000
    45.048    -58.427      7.000
    32.542   -132.512      6.000
    44.306    -37.027      6.000
    34.391   -132.579      6.000
    44.572    -34.070      6.000
    32.472   -126.490      6.000
    44.611    -35.163      6.000
    28.176    -83.784      7.000
    19.038    167.272      7.000
    48.435   -146.794      7.000
    22.080    -48.621      7.000
    27.536    -62.746      7.000
    21.206    -72.948      7.000
    25.877   -129.783      7.000
    27.122    -74.120      7.000
    25.038    -97.043      7.000
    21.263   -133.085      7.000
    49.300    107.877      7.000
    18.747     42.526      7.000
    47.880    163.869      7.000
    19.576     58.513      7.000
    26.758    -91.932      7.000
    22.908   -126.866      7.000
    23.734    -86.960      7.000
    21.568   -166.258      7.000
    24.746    107.820      7.000
    22.082    -90.784      7.000
    47.275   -130.006      7.000
    20.684    -69.594      7.000
    49.802   -148.177      7.000
    20.257    -62.323      7.000
    50.226   -154.195      7.000
    20.285    -73.413      7.000
    47.141    -35.831      7.000
    20.032     82.555      7.000
    20.601    -79.793      7.000
    20.173     75.819      7.000
    34.130    -91.780      7.000
    22.645   -128.278      7.000
    25.384    131.629      7.000
    22.103    -48.828      7.000
    48.205   -136.041      6.000
    20.174    -58.014      6.000
    20.224   -117.807      8.000
    19.544   -109.260      8.000
    20.753   -131.747      8.000
    19.972   -165.203      8.000
    27.808    -52.703      7.000
    23.570    178.290      7.000
    26.123    -62.674      7.000
    25.281    177.348      7.000
    27.195    -75.774      7.000
    23.497   -170.733      7.000
    49.074     57.609      6.000
    26.572   -140.724      6.000
    32.147    104.105      7.000
    22.137   -140.090      7.000
    41.315     86.572      7.000
    28.936    179.555      7.000
    36.720    134.290      8.000
    24.838   -128.121      8.000
    35.346     90.169      8.000
    23.028   -168.605      8.000
    23.730     39.850      7.000
    24.658   -121.471      7.000
    40.099     75.789      7.000
    19.945    157.664      7.000
    29.352     80.331      8.000
    19.977   -167.946      8.000
    33.096     88.747      7.000
    25.506   -153.431      7.000
    26.745   -110.537      7.000
    20.123   -108.801      7.000
    34.006    121.874      8.000
    25.524   -121.229      8.000
    33.970     90.735      8.000
    24.308   -175.853      8.000
    31.874     82.420      7.000
    22.829   -142.416      7.000
    32.716     57.460      8.000
    24.175    177.830      8.000
    21.074     60.841      7.000
    25.308   -139.159      7.000
    20.615    -76.143      7.000
    20.904   -168.550      7.000
    23.268     79.067      8.000
    20.653   -172.980      8.000
    38.867    -93.857      7.000
    18.636   -171.586      7.000
    51.467   -116.298      7.000
    18.991   -164.459      7.000
    45.868    -98.619      7.000
    16.407   -160.411      7.000
    45.815    -98.637      7.000
    19.985   -157.357      7.000
    45.292    -99.218      7.000
    20.561   -164.870      7.000
    52.561   -114.377      7.000
    22.316   -169.398      7.000
    47.555    -96.044      7.000
    20.356   -163.729      7.000
    52.731   -129.255      8.000
    20.990   -169.853      8.000
    54.030   -121.845      7.000
    19.209   -162.227      7.000
    49.887   -114.388      7.000
    20.451   -164.107      7.000
    48.881   -130.063      8.000
    21.064   -171.060      8.000
    52.258   -143.503      7.000
    21.241   -176.625      7.000
    42.239   -111.030      7.000
    20.477   -177.273      7.000
    50.821   -126.299      7.000
    20.212   -162.024      7.000
    18.973    -98.459      8.000
    18.497   -168.545      8.000
    48.963   -118.763      8.000
    22.999   -166.881      8.000
    51.951   -120.108      7.000
    18.951   -164.272      7.000
    50.676   -134.057      8.000
    21.068   -176.725      8.000
    42.522   -100.581      8.000
    19.242   -165.738      8.000
    48.755   -135.124      8.000
    21.744   -174.784      8.000
    35.965    118.369      6.000
    35.791    -20.955      6.000
    48.360    135.613      7.000
    37.898    -87.256      7.000
    39.473    133.422      7.000
    43.213    -60.944      7.000
    44.177    117.219      7.000
    37.010    -42.106      7.000
    41.357    146.836      7.000
    37.507    -49.683      7.000
    45.500    130.837      7.000
    38.169    -72.410      7.000
    45.630     62.719      8.000
    38.321   -126.475      8.000
    47.241    143.367      6.000
    38.240    -49.795      6.000
    48.409    145.718      6.000
    38.155    -48.109      6.000
    48.360    135.613      7.000
    37.898    -87.256      7.000
    47.646    128.230      7.000
    36.072    -26.354      7.000
    45.256     86.871      4.000
    47.717     77.438      4.000
    43.863    134.119      7.000
    37.516    -57.647      7.000
    44.201    124.333      7.000
    38.771    -50.688      7.000
    40.134    110.467      8.000
    35.405   -174.204      8.000
    41.357    146.836      7.000
    37.507    -49.683      7.000
    45.500    130.837      7.000
    38.169    -72.410      7.000
    45.630     62.719      8.000
    38.321   -126.475      8.000
    47.241    143.367      6.000
    38.240    -49.795      6.000
    48.409    145.718      6.000
    38.155    -48.109      6.000
    43.725    126.169      6.000
    42.133    -29.828      6.000
    47.646    128.230      7.000
    36.072    -26.354      7.000
    43.863    134.119      7.000
    37.516    -57.647      7.000
    44.201    124.333      7.000
    38.771    -50.688      7.000
    40.134    110.467      8.000
    35.405   -174.204      8.000
    47.013    146.722      6.000
    37.899    -44.416      6.000
    45.808    126.935      6.000
    38.020    -35.504      6.000
    47.591    131.819      7.000
    37.735    -36.071      7.000
    48.010    117.143      8.000
    40.148    -90.017      8.000
    33.649    108.822      7.000
    35.265    -48.145      7.000
    38.721     80.156      7.000
    47.533   -177.506      7.000
    35.486    -67.914      6.000
    36.679    -23.956      6.000
    34.901   -130.366      6.000
    40.719    -31.051      6.000
    34.971    -57.092      6.000
    35.222     -0.135      6.000
